title,subtitle,
Por que a 'agenda de costumes' de Bolsonaro deve continuar parada no Congresso em 2020,"<p class=""text"">
	Quando falam sobre as prioridades do governo, alguns aliados do presidente Jair Bolsonaro costumam mencionar assuntos da chamada ""pauta de costumes"": medidas como o Estatuto da Família, que restringe a definição de núcleo familiar à união de homem e mulher; a Escola Sem Partido, que busca impedir professores de expressar opiniões ""ideológicas""; a luta contra a ""ideologia de gênero""; ou a redução da maioridade penal.
</p>",
Polícia recebe imagem de atentado ao Porta dos Fundos no Rio,"<p class=""text"">
	A Polícia Civil do Rio investiga a participação de um grupo que se diz integralista no atentado contra a sede da produtora do canal Porta dos Fundos. Na quarta-feira, 25, os integrantes desse grupo divulgaram um vídeo com imagens do ataque no YouTube.
</p>",
Juiz de garantias deve afetar caso de Flávio Bolsonaro,"<p class=""text"">
	A decisão de criar o juiz de garantias deve afetar o caso do senador Flávio Bolsonaro (sem partido-Rio), afastando do processo o juiz <strong>Flávio Itabaiana de Oliveira Nicolau</strong>, da 27.ª Vara Criminal do Rio. Essa é a opinião de especialistas em Direito ouvidos pelo <strong>Estado</strong>.
</p>",
,,
,,
Ministro publica post que chama Bolsonaro de traidor e apaga,"<p class=""text"">
	O ministro da Educação, Abraham Weintraub, compartilhou uma postagem de um youtuber conservador que chama o presidente Jair Bolsonaro de traidor por não ter vetado, como queria o ministro da Justiça, Sérgio Moro, a criação do ""juiz de garantias"" ao sancionar o pacote anticrime. Após a publicação, Weintraub apagou a mensagem alegando ter se enganado.
</p>",
,,
"Moro diz que projeto sancionado ""não é o dos sonhos""","<p class=""text"">
	O ministro da Justiça e Segurança Pública, <strong>Sergio Moro</strong>, escreveu nesta quarta-feira (25) no Twitter que o <strong>projeto anticrime</strong> sancionado pelo presidente <strong>Jair Bolsonaro</strong> ""não é o dos sonhos"", mas apresenta avanços. Ministros de tribunais superiores ouvidos pelo <em>Estado/Broadcast</em> viram com preocupação a criação da figura do juiz de garantias e alertam para o curto prazo reservado para a implantação da medida em um país de grandes dimensões, como o Brasil. A lei entra em vigor em 30 dias.
</p>",
Menino de nove anos morre após ser atacado por quatro cães,"<p class=""text"">
	Um menino de nove anos morreu na tarde desta quarta, 25, após ser atacado por ao menos quatro cães na zona sul de São Paulo. Um rapaz de 20 anos tentou salvar o garoto e também foi atacado. O Corpo de Bombeiros e a Polícia Militar foram chamados para atuar no resgate, mas um médico que estava no Helicóptero Águia da PM constatou a morte do menino no local.
</p>",
"Para presidente da Ajufe, juiz de garantia serve para todos","<p class=""text"">
	O presidente da Associação de Juízes Federais (Ajufe), Fernando Mendes, espera que a regulamentação do <strong>juiz de garantias</strong>, sancionado dentro do <strong>pacote anticrime</strong> pelo presidente <strong>Jair Bolsonaro</strong>, seja regulamentado ""de forma uniforme em todo o Brasil"". Para ele, é necessário que a medida se aplique em todo o País, e não somente ""nas capitais e para os crimes de colarinho branco"".
</p>",
Mito ou Verdade? Café mancha os dentes,"<p class=""text"">
	Mas calma, não precisa para de tomar café. Porém como a bebida é favorita dos brasileiros e muitas vezes consumida em excesso, ela encabeça todas as listas de alimentos que mancham os dentes.
</p>",
Confira os vetos de Bolsonaro no projeto anticrime de Moro,"<p class=""text"">
	O presidente <strong>Jair Bolsonaro</strong> vetou 25 trechos do projeto de<strong> lei anticrime</strong>, apresentado inicialmente pelo ministro da Justiça e Segurança Pública, <strong>Sergio Moro</strong>, e aprovado pelo Congresso Nacional em uma versão desidratada. Ainda assim, Bolsonaro sancionou o projeto.
</p>",
"Pela 1ª vez em 200 anos, Notre Dame não tem  missa de Natal","<p class=""text"">
	Pela primeira vez em 200 anos, a <strong>Catedral de Notre Dame</strong> não realizou a celebração de Natal, depois que um incêncio destruiu parcialmente sua estrutura, em abril deste ano. Por conta disso, católicos franceses se reuniram na Igreja de Saint-Germain l'Auxerrois para um culto celebrado pelo reitor da catedral Patrick Chauvet. ""Não é a mesma sensação, mas ainda é uma missa de Natal"", disse ao <em>The Guardian</em>, a adolescente Juliette, de 16 anos, que esteve em Paris com sua família para a noite de Natal. ""Haverá um pensamento para Notre Dame hoje à noite, com certeza.""
</p>",
Bolsonaro diz que sofreu perda parcial de memória após tombo,"<p class=""text"">
	O presidente <strong>Jair Bolsonaro</strong> afirmou ter sofrido perda parcial de memória após escorregar e bater a cabeça no chão do banheiro do Palácio da Alvorada, no fim da noite dessa segunda-feira, 23. O acidente doméstico levou o presidente a passar a noite em observação no Hospital das Forças Armadas, em Brasília. A declaração foi dada em entrevista ao programa <em>Brasil Urgente</em>.
</p>",
"Bolsonaro despista sobre Moro como vice: ""Muito cedo""","<p class=""text"">
	Em entrevista na tarde desta terça-feira, 24, ao apresentador José Luiz Datena, da TV Bandeirantes, o presidente <strong>Jair Bolsonaro</strong> foi evasivo ao comentar a possibilidade de o ministro da Justiça e da Segurança Pública, <strong>Sergio Moro</strong>, ser o seu companheiro de chapa, como vice, na campanha de reeleição.
</p>",
Bolsonaro sanciona projeto anticrime de Moro com 25 vetos,"<p class=""text"">
	O presidente <strong>Jair Bolsonaro</strong> sancionou, com 25 vetos, o projeto de lei anticrime, apresentado pelo ministro da Justiça e Segurança Pública, <strong>Sergio Moro</strong>. Conforme o <em>Estado</em><strong> </strong>antecipou, a Casa Civil havia recomendado uma rejeição maior à proposta, tendo sugerido 38 vetos.
</p>",
Sede do Porta dos Fundos é atacada no Rio de Janeiro,"<p class=""text"" dir=""ltr"">
	Alvo de críticas desde o lançamento do filme <em>A Primeira Tentação de Cristo</em> na Netflix, o canal<strong> Porta dos Fundos</strong> foi alvo de um atentado na madrugada desta terça-feira, 24, véspera de Natal, no Rio. Localizada no Humaitá, na zona sul, a sede da produtora teve sua fachada atingida por <strong>coquetéis molotov</strong>, informou a assessoria de imprensa do grupo.
</p>",
