title,subtitle,,
Equipe sub-20 do São Paulo pega o Lanús pela semifinal da Libertadores,"Com 12 gols marcados e apenas um gol sofrido, equipe sonha com vaga na decisão do torneio. No outro jogo, se enfrentarão Liverpool (URU) e Cortuluá (COL)",,
"Kobe 18 vezes, 216 ídolos, 1º evento no Canadá... os números do All-Star","Pela primeira vez realizado fora dos Estados Unidos, Jogo das Estrelas terá eventos entre sexta e domingo, com transmissão para 215 países e territórios; veja números",,
"Anúncio com Neymar é retirado das ruas de Meca por ""violar santidade""","Cartazes com campanha publicitária do brasileiro para rede mundial de fast food causam polêmica em cidade santa para a fé islâmica, onde ocorre peregrinação anual",,
"Varejão acredita que Brasil brigará por medalha no Rio: ""É o nosso objetivo""","Veterano de 33 anos admite ansiedade pelos Jogos Olímpicos no país e afirma que torcida será um fator importante na busca pelo pódio: ""Sempre bom jogar em casa"" ",,
Chama o síndico: Ariel Cabral recebe companheiros e se torna referência ,Argentino ajuda conterrâneos a se adaptarem ao Cruzeiro e à Belo Horizonte,,
"Esposa de Toranzo, do Huracán, afirma que jogador teme pela carreira",Meia sofreu sérias lesões no pé em acidente com ônibus que levava delegação ,,
Jornal diz que Neymar terá segundo maior salário do Barça após renovação,Contrato do volante Sergio Busquets também deverá ser estendido em breve,,
"Gabriel Medina quer usar aprendizado de 2015 para conquistar bi: ""Foco total""","Primeiro brasileiro a ser campeão mundial de surfe, surfista começa treinos para a disputa do Circuito Mundial de Surfe; primeira etapa tem início em 10 de março",,
"Pela internet, presidente do Galo anuncia a contratação de Robinho",Daniel Nepomuceno divulgou a novidade em mensagem no Twitter,,
"No ano olímpico, Brasil vira casa ","Com três torneios em terras brasileiras marcados no calendário internacional, duplas italianas fazem treinos no país. Alemães, canadenses e americanos chegam em breve",,
"Surfista, fã de Senna e agora maior de idade, arqueiro é esperança de pódio","Marcus D´Almeida é candidato ao pódio nas Olimpíadas no tiro com arco e minimiza pressão: ""É o que eu sei fazer, puxar cordas e soltar. Isso é a Olimpíada para mim""",,
"Com título francês encaminhado, PSG renova com Blanc por mais dois anos","Com contrato vencendo no fim da temporada, treinador recebe voto de confiança da diretoria e estende contrato até junho de 2018, sonhando com conquista europeia",,
"Pensando em clássico, Corinthians inicia maratona e recebe Capivariano","Técnico Tite escala time misto para duelo desta quinta-feira, em Itaquera, com cabeça no São Paulo e na Libertadores. Timão terá 16 partidas nos próximos 53 dias",,
"Desorganizado, Palmeiras sofre com pouca criação no ataque; veja análise","Fernando Prass salva o Verdão da derrota contra o Oeste, em São José do Rio Preto. Sem muita inspiração, time de Marcelo Oliveira volta a mostrar problemas",,
Empresa explica troca de gramado na Arena Palmeiras, Dérbi é incógnita,"Palmeiras volta a atuar em casa neste sábado, contra o Linense. Por causa de show, clássico contra o Corinthians, no dia 4 de abril, ainda não está garantido no local",
Hoffenheim anuncia técnico mais novo da história do Campeonato Alemão,"Julian Nagelsmann, de apenas 28 anos, assume no lugar de Als Huub Stevens",,
Lincoln ganha atenção especial de Roger e busca protagonismo aos 17,Meia é um dos destaques do Grêmio no início de temporada após cuidado especial,,
"Análise: São Paulo é o que se propôs a ser em 2016. Agora, precisa ser mais","Classificação tricolor tem marcas do início de sua reconstrução: raça e organização. Para ir além, Patón terá que enfatizar agora a criação. Goleadas eram improváveis",,
"Atlético-MG faz suspense, mas tem outro nome na mira, além de Robinho","Diretoria não revela, mas deixa no ar que clube deverá ter reforços na lista de inscrição da Taça Libertadores, que será entregue na próxima segunda-feira",,
Lavezzi deve jogar na China e se tornar o jogador mais bem pago do mundo,Empresário do jogador confirma negociação e a possibilidade de fechar o negócio logo,,
Inter e Passo Fundo se enfrentam no Beira-Rio com estreia de treinador,"Partida, válida pela terceira rodada do Gauchão, começa às 19h30 desta quinta-feira",,
Estrela da Espanha pede garantias contra contágio com zika nos Jogos,"""É importante saber que estaremos seguros e que nossa saúde não será posta em risco"", afirmou Mireia Belmonte, uma das maiores nadadoras da delegação do país",,
"Técnico relaciona Lucas Silva para jogo do Olympique: ""Não há problema""","Míchel diz que jogador não pegou o Montpellier por decisão técnica: ""Havia uma situação difícil com sua possível transferência""",,
Messi treina após cirurgia e pode enfrentar o Celta no próximo domingo,Atacante argentino do Barcelona passou por uma litotripsia na última terça-feira,,
"Sem acerto, Robinho descarta volta ao Santos e começa a analisar propostas","Atacante de 32 anos está sem clube desde que deixou o Guangzhou Evergrande, da  China. Jogador cansou de esperar a definição do Peixe e vai estudar outras ofertas",,
"Em comunicado, Santos anuncia fim das negociações com Robinho","Peixe não chega ao valor pedido pelo atacante e lhe deseja ""sucesso na carreira""",,
Discrição e eficiência: Mancuello agrada em estreia pelo Flamengo,"Em primeira partida oficial pelo Rubro-Negro, argentino atua 90 minutos e dá passe para gol de Guerrero, o primeiro do time na goleada por 5 a 0 sobre a Portuguesa",,
Imigrantes e críticas inglesas: Catar tenta mudar imagem antes de 2022,"Em meio a notícias sobre mortes e péssimas condições de trabalho dos operários, país apresenta “Cidade dos Trabalhadores” e ataca imprensa britânica",,
Madureira e Flu buscam segunda vitória em estreia de Diego Souza,"Após uma derrota e uma vitória no estadual, equipes se enfrentam, em Macaé, de olho em melhora na classificação e regularidade na competição",,
"Hyuri leva pancada, vai para hospital, mas exame não aponta anormalidade ","Atacante do Atlético-MG é atingido no pescoço em dividida com goleiro Gilson, é retirado em maca, passa por avaliação em hospital, que não constatam anormalidade",,
"Botafogo abre as portas, e Tartá, ex-Fluminense, vai treinar no clube","Em um primeiro momento, não haverá qualquer vínculo contratual com o meia de 26 anos, que estava na Coreia do Sul. Atleta trabalhou com Antônio Lopes no Tricolor ",,
"Relacionado de última hora, Rogério diz que previu participação no jogo","Gripado, Alan Kardec foi tirado do jogo na manhã desta quarta, e autor do gol da vitória do São Paulo ""já tinha pensado como seria o jogo"", com ele em campo",,
"Jornal: Mourinho terá R$ 1,7 bilhão à disposição para reforçar o United","Tabloide ""Daily Star"" afirma que diretoria pretende que treinador monte elenco capaz de disputar todos os títulos e cita nomes como Neymar, Cavani, Müller e Pogba",,
Galo leva moradores de rua para ver ,"Em parceira com o Serviço Voluntário de Assistência Social, clube coloca 90 pessoas carentes no setor VIP do Independência, através do projeto ""Rua do Respeito""",,
Lucas Silva nega ter sido expulso de ônibus por presidente do Olympique,Volante diz que foi orientado a seguir em Marselha por causa de negociações,,
Jornal: Mourinho e Manchester United selam acordo por contrato de três anos,"""Daily Mirror"" diz que treinador receberá R$ 85 milhões por cada uma das temporadas à frente dos Red Devils. Ele também assumirá cargo responsável por transferências",,
MotoGP divulga calendário oficial para 2016, sai Indianápolis e entra Spielberg,"Temporada começa em 20 de março, no Catar, e termina em 13 de novembro, em Valência. Assim como em 2015, Mundial de Motovelocidade terá 18 etapas no ano",
"Maurício Barbieri dispara contra Diniz após confusão: ""tem que ter caráter""",Técnico do RB Brasil afirma que comandante do Audax o xingou na saída do campo após a partida em Osasco. Discussão causou grande confusão,,
"Metrô de Léo Moura faz a alegria de torcedora deficiente visual: ""Força""",Pequena torcedora de 10 anos é surpreendida no centro de treinamentos do time,,
"Eleição provoca polêmica ao colocar LeBron à frente de Magic, Wilt e Bird",Ranking feito por especialistas de emissora dos Estados Unidos lista astro dos ,,
"Atração contra o VEC, Giuliano usará palmilha especial após lesão no pé","Após romper a fáscia plantar do pé direito, meia passará a ir a campo com adereço nas chuteiras para minimizar o impacto ao local do problema ao pisar o gramado",,
