title,subtitle
"Luciano Cabral tira fotos na cadeia, e jornal define: ""É o ídolo dos presos""",Jogador do Atlético-PR segue preso na Argentina à espera de definição sobre sua situação. Advogado defende que Luciano Cabral dormia em casa durante assassinato
"Cortez chega ao Grêmio motivado a repetir boa fase para ""honrar a camisa""",Lateral é apresentado após uma semana de treinos e agradece confiança
"Walace desembarca na Alemanha para assinar com o Hamburgo: ""Feliz""",Volante foi vendido pelo Grêmio por cerca de 10 milhões de euros (R$ 33 milhões) 
"Kami critica postura da Pain em jogo perdido para Operation: ""Muito feio""","Favorita, Pain abre grande vantagem na primeira partida da série, mas leva virada "
"Com Guerra em campo, Palmeiras vence jogo-treino contra o Nacional","Alecsandro marca, e Verdão bate o time da Barra Funda, em atividade disputada na Academia de Futebol, na manhã desta segunda-feira"
"Walter reclama de árbitro após empate do Goiás: ""Pediu para eu emagrecer""","Segundo atacante, Bruno Rezende faltou com respeito durante partida contra a Aparecidense; juiz nega e afirma que apenas tentou acalmar o jogador esmeraldino"
"Dana esfria plano de Amanda Nunes lutar nos penas: ""Vamos pisar no freio""","Presidente do UFC comete gafe ao dizer que brasileira precisa defender seu cinturão, e critica a quantidade de pedidos para subir de categoria dos atletas de hoje em dia"
"Abel cobra vitória, e Flu abre caminho contra série negativa em clássicos","Desde o título do Carioca 2012, Flu tem mau desempenho contra tradicionais rivais. Vencer Cruz-Maltino por três gols de diferença não acontecia há 30 anos"
"No fim da pré-temporada, São Paulo pode ter mudanças nos três setores","Prováveis vendas de atacante e zagueiro, e expectativa por chegada de meio-campista marcam semana tricolor antes de estrear no Campeonato Paulista"
"Mou diz que título inglês é ""missão quase impossível"" para o United","Com 14 pontos de desvantagem para o líder Chelsea, comandante dos Red Devils põe foco nas disputas das duas copas nacionais e da Liga Europa"
"Em nota oficial, West Ham critica saída de Payet: ""Não mostrou respeito""","Após acerto do meia francês com o Olympique de Marseille, chefe executivo do clube inglês explica que ofereceu novo contrato e que decisão de sair foi apenas do jogador"
"A lista de Jair: técnico tem ""dia D"" por inscrição do Botafogo na Libertadores","Comandante precisa enviar nesta segunda-feira para a Conmebol os nomes dos 25 jogadores que pretende utilizar contra o Colo-Colo e, se passar, Olimpa ou Del Valle"
Atlético pode oferecer R$ 41 milhões anuais para atrair Alexis Sánchez,"Com contrato terminando no ano que vem, chileno é cotado para deixar o Arsenal ao fim da atual temporada. Colchoneros pagariam R$ 134 milhões aos Gunners"
"Análise: Vasco volta a mostrar suas fragilidades, e zaga fica exposta","Com carência de opções no setor defensivo do meio de campo, Cristóvão escala dois volantes com pouco poder de marcação, e Fluminense se aproveita"
"Triangulações, discussão com torcida e melhora no 2º tempo: D'Ale reestreia","Capitão errou passes que armaram contra-ataques do Veranópolis, mas apareceu mais na etapa final e ainda contribuiu para apaziguar ânimos durante briga na torcida"
"Parado e treinando só futevôlei, Aldo ofende McGregor e pede luta em maio","Campeão linear do peso-pena do UFC diz que não liga para irlandês, afirma estar com saudades de lutar e conta que pensa em seguir carreira no boxe após o MMA"
"Com título na Austrália, Serena passa Kerber e volta a ser número 1 da WTA",Americana vence irmã e retorna à liderança da listagem da entidade. Venus pula seis posições (de 17º para 11º lugar). Karolina Pliskova agora é a terceira do ranking
"Após quase três meses fora, Federer volta ao top 10 com título na Austrália","Suíço chegou a ficar 11 semanas fora da listagem, mas retorna triunfalmente ao ganhar seu 18º Grand Slam na carreira. Nadal sobe três posições, de nono para sexto"
"Dana responde a McGregor: ""Se seguir este caminho, terá uma queda épica""","Presidente do UFC minimiza declarações do irlandês como estratégia para vender entrevista, e duvida das chances de luta contra Floyd Mayweather ser realizada"
"Alexandre Pato fecha com o Tianjin Quanjian, da China, por três anos","Atacante deixa o Villarreal após seis meses para ganhar cifras milionárias. Ele jogará com o ex-Santos Geuvânio e o belga Alex Witsel, e será comandado por Cannavaro"
"""Tsunami de volantes"", mobilidade e referência: as variações do Cruzeiro","Na estreia pelo Mineiro, contra o Villa Nova-MG, Mano desenha a Raposa de duas formas: com Sobis centralizado, e outra com Ábila no centro e brasileiro na esquerda"
"Rodriguinho fica, mas Corinthians ainda teme perder o lateral Fagner",Timão acredita que assédio sobre o defensor pode crescer nos últimos dias de transferências nos principais mercados europeus. E ainda tem a China...
Brasil inicia fase final contra freguês histórico em ascensão no continente,"Com Matheus Sávio, Maycon e Gabriel como novidades na equipe titular, seleção sub-20 reencontra nesta segunda-feira o Equador, com quem jogou 17 vezes e venceu 15"
Para ou não? Mancini cobra padrão para homenagens no minuto 71,"Treinador se mostra contrário à interrupção aos 26 minutos do 2º tempo para evitar abalo no time: ""Pode não ser interessante. Tem que estabelecer uma norma"""
"Uh, El Loco! Nos braços da torcida, Abreu estreia com gol e papel de líder","Atacante afirma que Bangu tem mais a fazer no Carioca e rejeita avaliação individual: ""Isso aqui não é tênis"""
"Análise: Orejuela acerta o meio, e Flu deslancha com a volta de Scarpa","Em formação, mas em evolução, Tricolor de Abel Braga corrige falhas e referenda forma de jogar. É premiado com 3 a 0 no clássico, mas, claro, nem tudo é perfeito"
"Após testes, atacantes elogiam elenco e falam em forte disputa no Palmeiras",Eduardo Baptista usa todas opções disponíveis no grupo antes da estreia no Paulistão e mantém mistério sobre a escalação. Quem será o titular do Verdão?
"Federer deixa futuro aberto, mas diz: ""Ainda tenho muito tênis em mim""","Após vencer Rafael Nadal na decisão do Aberto da Austrália, suíço não confirma participação no Grand Slam de 2018, mas explica: ""Posso me lesionar"""
Clássico no Estádio Nilton Santos tem dois banheiros e cadeiras depredadas,"Vandalismo acontece na Leste Inferior, onde estava a torcida do Vasco no jogo contra o Fluminense. Botafogo diz que contrato com clubes prevê indenização para consertos"
Wellington Paulista marca em estreia oficial e homenageia Bruno Rangel,"Autor de um dos gols na vitória da Chapecoense contra o Inter de Lages, na estreia do Campeonato Catarinense, o atacante exibe o número 9 em sua comemoração"
"Brasileiro marca, e zebra Moreirense conquista a Taça da Liga de Portugal","Após eliminar Porto e Benfica, time de Moreira de Cónegos vence Braga por 1 a 0 com gol de pênalti de Cauê e fatura o primeiro grande título de sua história"
"Em família, seleção sub-20 faz último treino antes da estreia na fase final ","Na casa de vice da Libertadores e diante de parentes de Vizeu, Paquetá e David Neres, Micale volta a indicar time titular com Gabriel, Maycon e Matheus Sávio"
"Cristóvão se rende ao Flu e avalia o Vasco: ""Atuação muito ruim""","Técnico admite superioridade do adversário no clássico deste domingo, mas vê chances criadas na segunda etapa"
Eduardo Baptista confirma Prass como titular do Palmeiras após testes,"Técnico do Verdão decide quem será o goleiro da equipe: ""É difícil tomar a decisão, mas você toma e sabe que vai estar sendo junto com a situação de hoje"""
"Egito marca no fim, vence o Marrocos e vai à semifinal da Copa Africana ","Kahraba marca aos 42, garante terceiro 1 a 0 seguido, e egípcios enfrentam Burkina Faso por uma vaga na decisão do torneio no Gabão"
Mano vê triunfo tranquilizador e cutuca,"Técnico do Cruzeiro dá a entender que vitória do Atlético-MG é questionável e exalta a conquista dos três pontos diante do Villa, mesmo com o time sem o ritmo ideal"
"Inter será denunciado no TJD por briga de torcidas, diz procurador","Torcedores colorados entraram em conflito na tarde deste domingo, no Antônio David Farina. Como partida ficou parada, clube pode, inclusive, perder mando de campo"
"Satisfeito como torcedor, Abel destaca coletivo forte em triunfo sobre o Vasco","Treinador do Fluminense vê pontos a serem corrigidos, mas vibra com alegria da torcida na vitória por 3 a 0 no Engenhão e elogia time: ""Eu encontro um grupo feliz"""
"LeBron e Kyrie superam Westbrook, e Cavs vencem fácil o Thunder em casa","Dupla tem desempenho melhor do que o craque do Oklahoma, que até termina com triplo-duplo, mas não evita a vitória do Cleveland, por 107 a 91, diferença de 16 pontos"
Grama sintética e linhas extras: campo do Almirante Barroso gera polêmica,Marcações amarelas confundem jogadores na estreia pelo Catarinense contra o Joinville. Reunião na segunda-feira vai discutir o tema com os outros clubes
