mãe,703
pressão,702
hora,702
júnior,701
facebook,698
condenado,697
ver,697
edição,697
prazo,697
preços,697
logo,696
cristiano,695
briga,694
maiores,694
maia,694
visita,694
unido,693
alemão,692
islâmico,690
devem,689
denúncia,689
irá,687
mantém,687
ataques,686
passar,686
total,682
atrás,679
fundo,678
todas,678
devido,677
morre,677
garantiu,671
dólar,670
ajudar,669
ações,667
ingressos,667
muitos,665
caixa,665
negociação,665
ceni,665
humanos,663
quinta,661
primeiros,661
minuto,661
sair,660
virada,659
jovens,658
ir,658
carreira,658
jesus,658
festa,657
relatório,657
educação,656
perde,656
palácio,655
chegada,655
adversário,655
belo,654
começa,653
político,651
coletiva,651
crimes,649
população,648
líderes,648
nomes,648
recorde,647
câncer,646
envolvendo,645
vantagem,645
paraná,644
crescimento,644
conhecido,643
levar,643
pênalti,643
cidades,640
alegre,639
aeroporto,637
retorno,637
acesso,636
vítima,636
sul-americana,636
serviços,634
comércio,633
interior,632
governador,632
cirurgia,631
poderia,630
ajuda,629
oposição,628
atividade,628
revista,627
recebe,626
ônibus,626
mostrou,626
confiança,625
posse,624
japão,624
revelou,624
europeia,624
abertura,624
universidade,622
lima,622
válido,622
alvinegro,622
minas,621
rogério,621
cruz,620
jorge,620
obama,619
precisa,618
participação,618
menor,617
candidatos,617
encontro,617
planalto,617
protesto,617
abriu,616
maioria,615
movimento,614
portuguesa,614
comandante,614
fizeram,613
imagens,612
árbitro,612
pessoa,611
milhares,611
globo,608
doença,607
chances,606
nível,602
novamente,602
divisão,602
bruno,601
matou,601
único,601
secretaria,599
apresentado,597
discurso,595
data,594
expectativa,594
alves,594
ficaram,593
destaque,593
pacaembu,593
recuperação,591
indústria,591
goleada,591
plano,590
prefeitura,589
passa,589
fazem,588
então,588
dizem,588
inquérito,588
mortes,586
israel,586
juventus,586
milhão,585
objetivo,585
escola,585
ex-jogador,585
serviço,584
ministros,583
ruas,583
ponto,582
etapa,581
exames,580
incêndio,577
renato,574
idade,573
morreram,573
taça,573
companhia,572
técnica,571
defende,571
armas,568
água,568
demissão,567
espaço,566
quanto,565
terminou,565
imagem,564
oeste,564
rua,564
tratamento,563
jornalista,562
atenção,562
departamento,562
políticos,561
alerta,561
lance,560
renda,559
comparação,559
thiago,559
diário,558
geral,558
roma,557
sexta,556
pena,555
pagamento,554
cabeça,553
fechou,553
sequência,552
cai,552
ameaça,549
português,549
outra,548
marco,548
trabalhadores,548
apresentou,548
falar,547
luta,547
suspensão,547
pior,546
rubro-negro,546
controle,545
junto,545
receita,545
horizonte,545
renovação,545
empréstimo,544
allianz,544
vice-presidente,543
arsenal,541
tenta,540
nunca,540
viagem,539
vale,539
passagem,539
assumir,538
funcionários,538
vários,537
suspeito,536
fato,536
nada,535
