title,subtitle
Vitória revela que deu filho para Kátia vender e vai atrás do paradeiro da criança,"Advogada remexe o passado e lembra da gravidez aos 17 anos: 'A mesma Kátia que ficou com meu filho, roubou o filho da Lurdes. Eu estou decidida a encontrar meu filho'. Confira o que vai acontecer no próximo capítulo da novela das 9, 'Amor de Mãe'"
Elenco de 'Salve-se Quem Puder' encara desafio e faz vídeos divertidos sobre seus personagens,"Vídeos são inspirados nos teasers protagonizados por Deborah Secco, Juliana Paiva e Vitória Strada; autor Daniel Ortiz puxou o desafio nas redes sociais"
Dandara Mariana faz balanço do ano e fala de sua postura em meio à fama: 'Não quero me colocar numa bolha',"Vice-campeã do 'Dança dos Famosos', atriz lembra as conquistas de 2019 e reflete sobre representatividade, autoestima e a exposição de sua vida pessoal"
Diogo fica rico e diz que deseja voltar com Gisele,"No capítulo de 'Bom Sucesso' desta sexta, 27/12, o ex de Naná revela plano de vingança contra família de Alberto"
Lola se desespera ao descobrir nova dívida ,A matriarca da família Lemos recebe uma carta do banco com uma cobrança de dívida com juros em 'Éramos Seis'
Ivete Sangalo diz que cuidados com a pele aumentaram após a gravidez: 'Melasma veio com tudo',"Em bate-papo com Bianca Andrade e Vivian Amorim, nos bastidores do 'Show da Virada', cantora fala sobre rotina de maquiagem e programação de Réveillon"
Inês revela não sentir falta de Shirley: 'Saudade de quem me fez mal?',"Ao contar para Afonso que está namorando com Carlos em 'Éramos Seis', a menina também admite que não sente saudades de sua mãe "
Álvaro flagra Amanda violando seus documentos e arma contra ela,"Dono da PWA vê por câmera escondida a secretária fazendo cópias de arquivos importantes. Confira o que vai acontecer no próximo capítulo da novela das 9, 'Amor de Mãe'"
Antonio Fagundes recomenda livros para crianças e jovens,Ator indica mitologia e best-sellers no novo episódio do Clube do Livro. Ouça agora!
Paloma comemora decisão de Alberto: 'O senhor não vai mais morrer!',"No capítulo de 'Bom Sucesso' desta sexta, 19/12, Mauri conta ao amigo sobre novo tratamento para a doença"
'Amor de Mãe' faz homenagem a 'Avenida Brasil' e web comemora,"Na trama, Sandro usa camisa do Divino Futebol Clube e figurinista explica: 'Foi uma forma de homenagear a novela através do estilo do personagem'"
Thiago Fragoso será pai pela segunda vez: 'É um menino',Ator conversa com exclusividade com o 'Se Joga' e avisa que planeja ser pai de uma menina também
Gshow no 'Se Joga': relembre o que bombou na internet em 2019 ,"Teve Susana Vieira distribuindo selinhos no 'Domingão', Nathalia Timberg completou 90 anos e os internautas vibraram com o beijo de Paloma e Marcos no Pão de Açúcar, em 'Bom Sucesso'!"
Moda praia para o verão 2020 vem com releitura dos clássicos de 1970; inspire-se,"Biquíni tipo sunquini, modelagem vintage e maiô asa delta são as tendências para a estação e o @PraVcArrasar mostra como o look pode ser estiloso e confortável!"
Mario faz serenata para Nana e a pede em namoro,"No capítulo de 'Bom Sucesso' desta quinta, 26/12, poeta diz ao seu grande amor que terminou com Silvana"
Lola tira o luto e deixa Afonso encantado ,"Não perca as emoções da novela das 6, ‘Éramos Seis’"
Vitória pressiona Amanda a pedir demissão: 'Você tem cinco dias ou conto para o Álvaro',"Em reunião com a secretária e o cliente, a advogada acusa e dá prazo para a namorada de Davi. Confira o que vai rolar em 'Amor de Mãe'"
Jhona Burjack comenta repercussão de sua primeira novela e namoro de 9 anos com modelo internacional,"No ar em 'Éramos Seis', ator de 24 anos conta que se diverte ao perceber que é reconhecido nas ruas e entrega que pensa em casamento: 'Nosso relacionamento é sólido, franco e honesto'"
"Traição, sabotagem e fim de farsa marcam baile em 'Éramos Seis'",Filhos de Lola se envolvem em confusão em uma noite movimentada na novela das 6; Paulo Rocha entra na trama
Kaysar Dadour celebra ano de conquistas e comenta boatos sobre sua vida: 'Pego todas as mentiras e fico mais forte',"Em ensaio exclusivo, campeão do 'Dança dos Famosos 2019' faz balanço do que viveu, fala de suas paixões, da relação com os fãs e divide os planos para o futuro"
Marina faz barraco com fã que invade palco e beija Ryan,Cantor começa a ficar famoso e namorada tem ciúmes em 'Amor de Mãe'
